"LAPORAN KEUANGAN, OMSET & LABA BERSIH SINDORY LAUNDRY"
Periode:,"01 Mei 2026 s/d 31 Juli 2026"

"=== RINGKASAN REKAPITULASI KEUANGAN ==="
"Total Transaksi Order","165 Order"
"Total Volume Cucian","874,4 KG"
"Total Omset Kotor (Gross Revenue)","Rp 10.975.100"
"Estimasi Beban Operasional (35%)","Rp 3.841.285"
"Total Laba Bersih (Net Profit)","Rp 7.133.815"

No.,"No. Nota","Tanggal Masuk","Nama Pelanggan","No. Telepon","Paket Layanan","Berat (KG)",Status,Kasir,"Total Bayar (Rp)"
1,EXP-20260501-002,"2026-05-01 17:31",Oki,0812000114,"Cuci Komplit",2.9,Selesai,"Karyawan Express",20300
2,EXP-20260501-018,"2026-05-01 19:41",Mega,0812000112,"Bedcover & Selimut",5.9,Selesai,"Karyawan Express",147500
3,EXP-20260502-023,"2026-05-02 10:39",Novi,0812000113,"Express 6 Jam",7.4,Selesai,"Karyawan Express",111000
4,EXP-20260502-005,"2026-05-02 19:18",Indah,0812000108,"Setrika Saja",3.5,Selesai,"Karyawan Express",14000
5,EXP-20260503-024,"2026-05-03 17:30",Gito,0812000106,"Cuci Komplit",6,Selesai,"Karyawan Express",42000
6,EXP-20260504-016,"2026-05-04 14:03",Indah,0812000108,"Bedcover & Selimut",3.5,Selesai,"Karyawan Express",87500
7,EXP-20260504-025,"2026-05-04 18:25",Eka,0812000104,"Express 6 Jam",7.9,Selesai,"Karyawan Express",118500
8,EXP-20260504-038,"2026-05-04 19:47",Oki,0812000114,"Express 6 Jam",2.9,Selesai,"Karyawan Express",43500
9,EXP-20260505-027,"2026-05-05 09:31",Chandra,0812000102,"Express 6 Jam",5.1,Selesai,"Karyawan Express",76500
10,EXP-20260507-030,"2026-05-07 15:22",Budi,0812000101,"Express 6 Jam",5.8,Selesai,"Karyawan Express",87000
11,EXP-20260507-019,"2026-05-07 15:55",Hendra,0812000107,"Cuci Kering",8,Selesai,"Karyawan Express",40000
12,EXP-20260508-017,"2026-05-08 11:39",Putri,0812000115,"Cuci Komplit",4.2,Selesai,"Karyawan Express",29400
13,EXP-20260509-029,"2026-05-09 14:49",Fani,0812000105,"Express 6 Jam",3.9,Selesai,"Karyawan Express",58500
14,EXP-20260509-008,"2026-05-09 15:29",Umar,0812000119,"Bedcover & Selimut",8.4,Selesai,"Karyawan Express",210000
15,EXP-20260510-010,"2026-05-10 18:33",Joko,0812000109,"Cuci Komplit",4.9,Selesai,"Karyawan Express",34300
16,EXP-20260511-022,"2026-05-11 12:12",Gito,0812000106,"Bedcover & Selimut",2.1,Selesai,"Karyawan Express",52500
17,EXP-20260511-037,"2026-05-11 12:36",Rian,0812000116,"Cuci Komplit",6.9,Selesai,"Karyawan Express",48300
18,EXP-20260512-036,"2026-05-12 08:51",Novi,0812000113,"Setrika Saja",4.3,Selesai,"Karyawan Express",17200
19,EXP-20260512-009,"2026-05-12 10:35",Rian,0812000116,"Express 6 Jam",2.8,Selesai,"Karyawan Express",42000
20,EXP-20260513-021,"2026-05-13 14:10",Joko,0812000109,"Cuci Kering",5.7,Selesai,"Karyawan Express",28500
21,EXP-20260515-014,"2026-05-15 14:07",Fani,0812000105,"Setrika Saja",8.3,Selesai,"Karyawan Express",33200
22,EXP-20260516-039,"2026-05-16 14:29",Mega,0812000112,"Setrika Saja",3.4,Selesai,"Karyawan Express",13600
23,EXP-20260516-040,"2026-05-16 19:50",Oki,0812000114,"Express 6 Jam",3.1,Selesai,"Karyawan Express",46500
24,EXP-20260516-035,"2026-05-16 19:56",Novi,0812000113,"Express 6 Jam",7.8,Selesai,"Karyawan Express",117000
25,EXP-20260517-031,"2026-05-17 13:45",Mega,0812000112,"Express 6 Jam",6.2,Selesai,"Karyawan Express",93000
26,EXP-20260518-034,"2026-05-18 12:44",Indah,0812000108,"Express 6 Jam",3,Selesai,"Karyawan Express",45000
27,EXP-20260520-006,"2026-05-20 14:06",Kartika,0812000110,"Bedcover & Selimut",2.9,Selesai,"Karyawan Express",72500
28,EXP-20260520-015,"2026-05-20 14:43",Dewi,0812000103,"Bedcover & Selimut",4.7,Selesai,"Karyawan Express",117500
29,EXP-20260521-033,"2026-05-21 11:57",Eka,0812000104,"Express 6 Jam",6.9,Selesai,"Karyawan Express",103500
30,EXP-20260522-028,"2026-05-22 16:32",Gito,0812000106,"Express 6 Jam",6,Selesai,"Karyawan Express",90000
31,EXP-20260523-001,"2026-05-23 08:20",Ahmad,0812000100,"Express 6 Jam",7.6,Selesai,"Karyawan Express",114000
32,EXP-20260525-011,"2026-05-25 09:08",Dewi,0812000103,"Cuci Kering",6,Selesai,"Karyawan Express",30000
33,EXP-20260526-013,"2026-05-26 08:51",Gito,0812000106,"Bedcover & Selimut",5.9,Selesai,"Karyawan Express",147500
34,EXP-20260527-007,"2026-05-27 09:58",Novi,0812000113,"Bedcover & Selimut",6.5,Selesai,"Karyawan Express",162500
35,EXP-20260527-042,"2026-05-27 17:53",Novi,0812000113,"Express 6 Jam",4.6,Selesai,"Karyawan Express",69000
36,EXP-20260529-012,"2026-05-29 12:00",Siti,0812000117,"Express 6 Jam",2.9,Selesai,"Karyawan Express",43500
37,EXP-20260529-004,"2026-05-29 18:20",Budi,0812000101,"Setrika Saja",7.3,Selesai,"Karyawan Express",29200
38,EXP-20260530-020,"2026-05-30 13:30",Rian,0812000116,"Setrika Saja",4.6,Selesai,"Karyawan Express",18400
39,EXP-20260530-032,"2026-05-30 15:07",Oki,0812000114,"Cuci Komplit",5.8,Selesai,"Karyawan Express",40600
40,EXP-20260531-041,"2026-05-31 14:35",Lina,0812000111,"Express 6 Jam",7.8,Selesai,"Karyawan Express",117000
41,EXP-20260531-026,"2026-05-31 19:11",Kartika,0812000110,"Cuci Kering",6.1,Selesai,"Karyawan Express",30500
42,EXP-20260531-003,"2026-05-31 19:31",Siti,0812000117,"Bedcover & Selimut",3.5,Selesai,"Karyawan Express",87500
43,EXP-20260601-003,"2026-06-01 08:15",Joko,0812000109,"Cuci Komplit",7.2,Selesai,"Karyawan Express",50400
44,EXP-20260602-037,"2026-06-02 08:22",Dewi,0812000103,"Setrika Saja",4.5,Selesai,"Karyawan Express",18000
45,EXP-20260602-041,"2026-06-02 13:48",Novi,0812000113,"Bedcover & Selimut",3.8,Selesai,"Karyawan Express",95000
46,EXP-20260603-030,"2026-06-03 08:35",Rian,0812000116,"Bedcover & Selimut",3.5,Selesai,"Karyawan Express",87500
47,EXP-20260604-017,"2026-06-04 15:26",Indah,0812000108,"Bedcover & Selimut",7,Selesai,"Karyawan Express",175000
48,EXP-20260606-005,"2026-06-06 09:59",Rian,0812000116,"Express 6 Jam",7.8,Selesai,"Karyawan Express",117000
49,EXP-20260606-019,"2026-06-06 10:46",Oki,0812000114,"Express 6 Jam",7.7,Selesai,"Karyawan Express",115500
50,EXP-20260606-034,"2026-06-06 11:08",Fani,0812000105,"Cuci Kering",6,Selesai,"Karyawan Express",30000
